addition([train(39916)], [train(28084)], 10).
addition([train(51841)], [train(28510)], 8).
addition([train(38397)], [train(24435)], 11).
addition([train(587)], [train(14514)], 4).
addition([train(20347)], [train(29685)], 8).
addition([train(41448)], [train(8304)], 7).
addition([train(34822)], [train(9544)], 9).
addition([train(7265)], [train(18813)], 11).
addition([train(34204)], [train(28697)], 10).
addition([train(26746)], [train(35256)], 5).
addition([train(49290)], [train(8536)], 16).
addition([train(35997)], [train(9453)], 9).
addition([train(24678)], [train(42535)], 3).
addition([train(15900)], [train(18818)], 14).
addition([train(57874)], [train(26779)], 11).
addition([train(18519)], [train(15276)], 11).
addition([train(51373)], [train(27519)], 12).
addition([train(31684)], [train(36314)], 11).
addition([train(49345)], [train(28051)], 13).
addition([train(37055)], [train(18493)], 8).
addition([train(54625)], [train(27417)], 13).
addition([train(16767)], [train(32013)], 8).
addition([train(7972)], [train(39941)], 9).
addition([train(47782)], [train(4756)], 2).
addition([train(712)], [train(24948)], 6).
addition([train(20645)], [train(45800)], 9).
addition([train(44974)], [train(2761)], 16).
addition([train(47815)], [train(25986)], 8).
addition([train(58135)], [train(16314)], 6).
addition([train(57334)], [train(5633)], 15).
addition([train(24229)], [train(59434)], 6).
addition([train(40880)], [train(20335)], 8).
addition([train(5438)], [train(45390)], 7).
addition([train(29111)], [train(56669)], 14).
addition([train(13555)], [train(2770)], 7).
addition([train(45045)], [train(49809)], 10).
addition([train(50661)], [train(20798)], 2).
addition([train(802)], [train(55213)], 12).
addition([train(47553)], [train(19887)], 10).
addition([train(15088)], [train(14109)], 12).
addition([train(34439)], [train(23170)], 18).
addition([train(1099)], [train(12331)], 9).
addition([train(53835)], [train(49418)], 8).
addition([train(34438)], [train(733)], 5).
addition([train(35806)], [train(31458)], 7).
addition([train(8666)], [train(26108)], 17).
addition([train(33648)], [train(3547)], 5).
addition([train(55904)], [train(55221)], 14).
addition([train(15810)], [train(18867)], 9).
addition([train(4019)], [train(11482)], 17).
addition([train(18667)], [train(19148)], 14).
addition([train(13841)], [train(26096)], 5).
addition([train(32580)], [train(20567)], 16).
addition([train(4593)], [train(44433)], 12).
addition([train(25559)], [train(51474)], 9).
addition([train(2159)], [train(4668)], 10).
addition([train(41688)], [train(37125)], 14).
addition([train(4179)], [train(1160)], 7).
addition([train(30213)], [train(43372)], 11).
addition([train(39158)], [train(25423)], 10).
addition([train(34593)], [train(23502)], 13).
addition([train(42223)], [train(17187)], 2).
addition([train(3880)], [train(51753)], 2).
addition([train(4500)], [train(53956)], 7).
addition([train(8791)], [train(32612)], 8).
addition([train(49790)], [train(30970)], 4).
addition([train(56562)], [train(24407)], 9).
addition([train(51159)], [train(7482)], 11).
addition([train(34651)], [train(20460)], 13).
addition([train(13520)], [train(53424)], 4).
addition([train(57240)], [train(53012)], 6).
addition([train(11459)], [train(57771)], 7).
addition([train(43931)], [train(29447)], 7).
addition([train(54226)], [train(46105)], 10).
addition([train(8021)], [train(53239)], 2).
addition([train(19073)], [train(12562)], 16).
addition([train(259)], [train(17358)], 13).
addition([train(38471)], [train(49377)], 14).
addition([train(43898)], [train(31772)], 12).
addition([train(31199)], [train(21425)], 2).
addition([train(197)], [train(36348)], 17).
addition([train(47347)], [train(26137)], 8).
addition([train(13559)], [train(44173)], 16).
addition([train(23325)], [train(53732)], 7).
addition([train(44640)], [train(38700)], 8).
addition([train(59828)], [train(43621)], 7).
addition([train(57576)], [train(50516)], 10).
addition([train(4117)], [train(45394)], 13).
addition([train(41007)], [train(8874)], 7).
addition([train(49538)], [train(17261)], 8).
addition([train(10940)], [train(22424)], 13).
addition([train(17625)], [train(34195)], 9).
addition([train(13686)], [train(14885)], 10).
addition([train(31046)], [train(52878)], 7).
addition([train(32417)], [train(36897)], 13).
addition([train(28635)], [train(54375)], 6).
addition([train(40629)], [train(21949)], 15).
addition([train(54955)], [train(1636)], 16).
addition([train(56338)], [train(52540)], 6).
addition([train(9491)], [train(55149)], 5).
addition([train(56485)], [train(3923)], 11).
addition([train(36277)], [train(17638)], 1).
addition([train(5756)], [train(13092)], 6).
addition([train(36919)], [train(32269)], 2).
addition([train(10824)], [train(53437)], 11).
addition([train(2977)], [train(49525)], 9).
addition([train(53071)], [train(18841)], 10).
addition([train(45952)], [train(27031)], 3).
addition([train(12030)], [train(11020)], 8).
addition([train(14055)], [train(53291)], 15).
addition([train(46894)], [train(25372)], 13).
addition([train(26541)], [train(5043)], 10).
addition([train(34903)], [train(59018)], 17).
addition([train(39586)], [train(59425)], 9).
addition([train(278)], [train(22565)], 10).
addition([train(18388)], [train(25473)], 7).
addition([train(36086)], [train(27856)], 8).
addition([train(22305)], [train(39047)], 16).
addition([train(33921)], [train(35565)], 1).
addition([train(53206)], [train(47926)], 9).
addition([train(40180)], [train(29599)], 0).
addition([train(23787)], [train(18256)], 8).
addition([train(59232)], [train(44524)], 5).
addition([train(46596)], [train(48583)], 1).
addition([train(17336)], [train(40400)], 2).
addition([train(17532)], [train(25456)], 7).
addition([train(24415)], [train(11668)], 16).
addition([train(22684)], [train(59670)], 14).
addition([train(30920)], [train(31535)], 1).
addition([train(33585)], [train(34668)], 15).
addition([train(12697)], [train(15342)], 8).
addition([train(49111)], [train(46878)], 5).
addition([train(42370)], [train(6552)], 10).
addition([train(58412)], [train(4610)], 5).
addition([train(34923)], [train(16911)], 4).
addition([train(5629)], [train(56993)], 8).
addition([train(55958)], [train(6851)], 6).
addition([train(36510)], [train(13434)], 11).
addition([train(31698)], [train(42656)], 15).
addition([train(28687)], [train(32205)], 14).
addition([train(9121)], [train(7677)], 5).
addition([train(28500)], [train(2388)], 12).
addition([train(59067)], [train(15927)], 12).
addition([train(48029)], [train(13317)], 5).
addition([train(45327)], [train(19335)], 6).
addition([train(29181)], [train(55888)], 4).
addition([train(50057)], [train(37364)], 5).
addition([train(5227)], [train(41394)], 10).
addition([train(47718)], [train(58102)], 5).
addition([train(40374)], [train(25728)], 6).
addition([train(11637)], [train(58576)], 2).
addition([train(43169)], [train(59379)], 7).
addition([train(36976)], [train(57907)], 4).
addition([train(25571)], [train(54641)], 8).
addition([train(2060)], [train(36545)], 16).
addition([train(42926)], [train(10262)], 6).
addition([train(45420)], [train(22258)], 8).
addition([train(22940)], [train(5211)], 11).
addition([train(8390)], [train(51392)], 7).
addition([train(52988)], [train(6208)], 5).
addition([train(52322)], [train(56358)], 13).
addition([train(272)], [train(57681)], 13).
addition([train(45969)], [train(58901)], 16).
addition([train(15224)], [train(5675)], 2).
addition([train(41527)], [train(55895)], 14).
addition([train(14268)], [train(42675)], 3).
addition([train(44626)], [train(12239)], 7).
addition([train(54296)], [train(15041)], 8).
addition([train(39073)], [train(54148)], 16).
addition([train(11614)], [train(10691)], 8).
addition([train(42871)], [train(6004)], 5).
addition([train(20267)], [train(33653)], 18).
addition([train(13760)], [train(20343)], 12).
addition([train(22860)], [train(14192)], 8).
addition([train(25578)], [train(28023)], 15).
addition([train(6909)], [train(19883)], 9).
addition([train(59738)], [train(31244)], 10).
addition([train(9562)], [train(18299)], 4).
addition([train(35130)], [train(55188)], 9).
addition([train(29042)], [train(53446)], 7).
addition([train(31355)], [train(25800)], 9).
addition([train(23369)], [train(57479)], 8).
addition([train(14924)], [train(35319)], 5).
addition([train(56732)], [train(41753)], 8).
addition([train(48234)], [train(21808)], 15).
addition([train(17373)], [train(8062)], 12).
addition([train(55776)], [train(33701)], 13).
addition([train(50984)], [train(36805)], 9).
addition([train(45711)], [train(44785)], 6).
addition([train(2635)], [train(44565)], 8).
addition([train(57720)], [train(32644)], 3).
addition([train(48283)], [train(25723)], 11).
addition([train(41686)], [train(7035)], 12).
addition([train(11940)], [train(2935)], 8).
addition([train(20960)], [train(17015)], 6).
addition([train(1851)], [train(23970)], 8).
addition([train(25743)], [train(29002)], 7).
addition([train(30242)], [train(37446)], 10).
addition([train(13398)], [train(10354)], 3).
addition([train(41350)], [train(21052)], 1).
addition([train(38468)], [train(14163)], 9).
addition([train(47696)], [train(825)], 0).
addition([train(39184)], [train(21835)], 12).
addition([train(19113)], [train(42836)], 14).
addition([train(10330)], [train(34894)], 9).
addition([train(42169)], [train(230)], 14).
addition([train(33666)], [train(49447)], 11).
addition([train(52597)], [train(3957)], 4).
addition([train(55935)], [train(19029)], 3).
addition([train(40416)], [train(30318)], 10).
addition([train(23255)], [train(56794)], 8).
addition([train(41994)], [train(43608)], 7).
addition([train(4707)], [train(29640)], 6).
addition([train(51093)], [train(6475)], 16).
addition([train(2370)], [train(31656)], 17).
addition([train(32064)], [train(57008)], 18).
addition([train(41913)], [train(45637)], 11).
addition([train(23741)], [train(40780)], 0).
addition([train(52481)], [train(49695)], 9).
addition([train(39235)], [train(17885)], 4).
addition([train(12309)], [train(26187)], 11).
addition([train(6060)], [train(39587)], 4).
addition([train(38965)], [train(27658)], 1).
addition([train(38536)], [train(54862)], 8).
addition([train(23880)], [train(29886)], 17).
addition([train(56906)], [train(58368)], 10).
addition([train(7224)], [train(14558)], 9).
addition([train(13904)], [train(37670)], 10).
addition([train(7720)], [train(5134)], 5).
addition([train(4306)], [train(52913)], 17).
addition([train(20597)], [train(48384)], 12).
addition([train(51684)], [train(27404)], 10).
addition([train(19621)], [train(4031)], 6).
addition([train(53034)], [train(26773)], 10).
addition([train(7566)], [train(59237)], 6).
addition([train(54211)], [train(26700)], 11).
addition([train(13343)], [train(55856)], 17).
addition([train(59349)], [train(44522)], 8).
addition([train(42286)], [train(3356)], 9).
addition([train(59769)], [train(10973)], 11).
addition([train(17958)], [train(27919)], 13).
addition([train(31336)], [train(26377)], 15).
addition([train(24746)], [train(31128)], 11).
addition([train(38261)], [train(49233)], 8).
addition([train(53368)], [train(22244)], 12).
addition([train(21833)], [train(42598)], 7).
addition([train(11003)], [train(38605)], 0).
addition([train(56699)], [train(8662)], 12).
addition([train(56382)], [train(33192)], 7).
addition([train(57920)], [train(51301)], 3).
addition([train(54504)], [train(24659)], 18).
addition([train(55822)], [train(2897)], 0).
addition([train(19309)], [train(12158)], 7).
addition([train(25315)], [train(6539)], 8).
addition([train(53163)], [train(12719)], 12).
addition([train(10240)], [train(36155)], 6).
addition([train(6785)], [train(5810)], 7).
addition([train(43624)], [train(256)], 6).
addition([train(40698)], [train(29091)], 17).
addition([train(9484)], [train(18276)], 7).
addition([train(31200)], [train(51575)], 11).
addition([train(26845)], [train(56339)], 14).
addition([train(48201)], [train(25512)], 7).
addition([train(52398)], [train(28231)], 13).
addition([train(22485)], [train(18787)], 13).
addition([train(8822)], [train(48154)], 15).
addition([train(36883)], [train(55223)], 10).
addition([train(41871)], [train(56593)], 15).
addition([train(17702)], [train(17174)], 15).
addition([train(25931)], [train(44460)], 10).
addition([train(41262)], [train(35218)], 15).
addition([train(8279)], [train(44455)], 5).
addition([train(25320)], [train(28774)], 17).
addition([train(36307)], [train(21388)], 14).
addition([train(4736)], [train(24111)], 6).
addition([train(9466)], [train(11743)], 4).
addition([train(58274)], [train(23280)], 10).
addition([train(12280)], [train(46353)], 18).
addition([train(11898)], [train(1908)], 10).
addition([train(26775)], [train(38018)], 7).
addition([train(20401)], [train(1324)], 11).
addition([train(42344)], [train(25825)], 10).
addition([train(54587)], [train(36395)], 10).
addition([train(22333)], [train(33607)], 9).
addition([train(22155)], [train(32325)], 9).
addition([train(37042)], [train(52976)], 9).
addition([train(49057)], [train(44163)], 11).
addition([train(16272)], [train(33292)], 7).
addition([train(23406)], [train(20637)], 10).
addition([train(12568)], [train(7693)], 1).
addition([train(25291)], [train(23488)], 6).
addition([train(25394)], [train(7699)], 6).
addition([train(58022)], [train(14789)], 4).
addition([train(33057)], [train(26968)], 8).
addition([train(36098)], [train(672)], 7).
addition([train(44201)], [train(55983)], 10).
addition([train(20438)], [train(39754)], 10).
addition([train(57850)], [train(2221)], 15).
addition([train(44716)], [train(27146)], 11).
addition([train(17390)], [train(25080)], 9).
addition([train(35745)], [train(22572)], 11).
addition([train(47762)], [train(38889)], 9).
addition([train(55370)], [train(55639)], 14).
addition([train(2597)], [train(39705)], 3).
addition([train(44390)], [train(32538)], 12).
addition([train(16017)], [train(41944)], 6).
addition([train(33693)], [train(4828)], 12).
addition([train(20992)], [train(28013)], 4).
addition([train(49194)], [train(31466)], 1).
addition([train(4808)], [train(49866)], 10).
addition([train(24170)], [train(47564)], 11).
addition([train(4509)], [train(30432)], 9).
addition([train(21107)], [train(52574)], 6).
addition([train(21598)], [train(36210)], 10).
addition([train(1479)], [train(4605)], 6).
addition([train(26837)], [train(52334)], 10).
addition([train(46133)], [train(53445)], 15).
addition([train(41287)], [train(10941)], 5).
addition([train(17815)], [train(5472)], 8).
addition([train(43469)], [train(31297)], 1).
addition([train(28333)], [train(25717)], 8).
addition([train(42784)], [train(16322)], 15).
addition([train(27112)], [train(13801)], 18).
addition([train(22865)], [train(9952)], 12).
addition([train(21888)], [train(32449)], 5).
addition([train(20338)], [train(58338)], 13).
addition([train(31051)], [train(21239)], 10).
addition([train(14174)], [train(31615)], 7).
addition([train(22599)], [train(39180)], 11).
addition([train(54594)], [train(53143)], 9).
addition([train(30081)], [train(1544)], 6).
addition([train(182)], [train(47546)], 13).
addition([train(32591)], [train(8045)], 16).
addition([train(51122)], [train(48042)], 9).
addition([train(50421)], [train(46964)], 15).
addition([train(56875)], [train(30938)], 4).
addition([train(44328)], [train(57689)], 12).
addition([train(51532)], [train(47164)], 9).
addition([train(20997)], [train(59972)], 9).
addition([train(49890)], [train(34109)], 9).
addition([train(56942)], [train(58318)], 5).
addition([train(26343)], [train(46222)], 8).
addition([train(42627)], [train(10094)], 12).
addition([train(33650)], [train(32177)], 13).
addition([train(52959)], [train(26219)], 2).
addition([train(32333)], [train(19282)], 1).
addition([train(5641)], [train(29023)], 3).
addition([train(51553)], [train(17939)], 14).
addition([train(50317)], [train(30420)], 5).
addition([train(27212)], [train(58888)], 11).
addition([train(23619)], [train(43032)], 11).
addition([train(21701)], [train(41380)], 13).
addition([train(27706)], [train(53094)], 14).
addition([train(59182)], [train(40066)], 11).
addition([train(22324)], [train(37396)], 16).
addition([train(11320)], [train(3527)], 5).
addition([train(15023)], [train(34422)], 12).
addition([train(58063)], [train(54027)], 3).
addition([train(59463)], [train(35166)], 10).
addition([train(45189)], [train(41097)], 9).
addition([train(10822)], [train(23239)], 8).
addition([train(38319)], [train(57923)], 9).
addition([train(42682)], [train(49813)], 11).
addition([train(4277)], [train(27977)], 12).
addition([train(513)], [train(22927)], 14).
addition([train(7421)], [train(7900)], 6).
addition([train(9769)], [train(27323)], 16).
addition([train(53123)], [train(58596)], 12).
addition([train(6764)], [train(14134)], 6).
addition([train(12045)], [train(12159)], 14).
addition([train(59482)], [train(52613)], 5).
addition([train(29020)], [train(33071)], 11).
addition([train(29731)], [train(21339)], 13).
addition([train(34470)], [train(44764)], 4).
addition([train(28173)], [train(23202)], 7).
addition([train(13)], [train(46504)], 14).
addition([train(49383)], [train(3475)], 13).
addition([train(12818)], [train(23738)], 14).
addition([train(52780)], [train(7818)], 3).
addition([train(16330)], [train(46826)], 9).
addition([train(57450)], [train(14446)], 10).
addition([train(47495)], [train(45822)], 10).
addition([train(33220)], [train(11906)], 14).
addition([train(24791)], [train(660)], 14).
addition([train(30897)], [train(12546)], 6).
addition([train(46052)], [train(43919)], 11).
addition([train(43207)], [train(52031)], 10).
addition([train(24940)], [train(23051)], 7).
addition([train(7178)], [train(38948)], 12).
addition([train(40184)], [train(13106)], 4).
addition([train(3203)], [train(34103)], 13).
addition([train(20564)], [train(52549)], 7).
addition([train(56712)], [train(39823)], 5).
addition([train(50772)], [train(58618)], 2).
addition([train(34632)], [train(26162)], 8).
addition([train(14354)], [train(35722)], 2).
addition([train(33649)], [train(29158)], 6).
addition([train(49500)], [train(8432)], 8).
addition([train(43820)], [train(40808)], 13).
addition([train(48115)], [train(30426)], 14).
addition([train(3759)], [train(45874)], 16).
addition([train(57627)], [train(25433)], 9).
addition([train(37696)], [train(7097)], 5).
addition([train(34815)], [train(4709)], 9).
addition([train(25400)], [train(4635)], 14).
addition([train(9781)], [train(56931)], 11).
addition([train(4738)], [train(48889)], 7).
addition([train(12691)], [train(38609)], 2).
addition([train(36391)], [train(36269)], 0).
addition([train(50550)], [train(41574)], 5).
addition([train(39600)], [train(38280)], 5).
addition([train(20791)], [train(56023)], 5).
addition([train(11134)], [train(51782)], 3).
addition([train(43197)], [train(15876)], 5).
addition([train(23265)], [train(981)], 10).
addition([train(35470)], [train(4121)], 9).
addition([train(20728)], [train(27029)], 11).
addition([train(44903)], [train(16909)], 5).
addition([train(36143)], [train(38921)], 7).
addition([train(25004)], [train(30164)], 6).
addition([train(17160)], [train(53201)], 13).
addition([train(39762)], [train(30078)], 11).
addition([train(24005)], [train(3569)], 9).
addition([train(36569)], [train(25586)], 3).
addition([train(21494)], [train(31748)], 11).
addition([train(1014)], [train(54743)], 16).
addition([train(55552)], [train(19795)], 8).
addition([train(6444)], [train(56642)], 4).
addition([train(12281)], [train(18608)], 8).
addition([train(26782)], [train(52979)], 6).
addition([train(1526)], [train(46799)], 12).
addition([train(56524)], [train(49054)], 6).
addition([train(53685)], [train(14902)], 8).
addition([train(6352)], [train(42373)], 7).
addition([train(27365)], [train(29624)], 6).
addition([train(11168)], [train(21154)], 10).
addition([train(2551)], [train(48594)], 11).
addition([train(56704)], [train(24124)], 2).
addition([train(43326)], [train(24020)], 3).
addition([train(33129)], [train(39877)], 16).
addition([train(59438)], [train(1580)], 12).
addition([train(28977)], [train(36263)], 5).
addition([train(2025)], [train(59055)], 10).
addition([train(3869)], [train(15329)], 6).
addition([train(34663)], [train(19415)], 10).
addition([train(24310)], [train(21217)], 12).
addition([train(38108)], [train(23290)], 3).
addition([train(27773)], [train(20030)], 16).
addition([train(48426)], [train(12254)], 5).
addition([train(50604)], [train(43754)], 16).
addition([train(10644)], [train(57611)], 11).
addition([train(953)], [train(52170)], 8).
addition([train(32549)], [train(45254)], 7).
addition([train(51308)], [train(54951)], 2).
addition([train(53347)], [train(30349)], 6).
addition([train(2500)], [train(16490)], 5).
addition([train(29037)], [train(34318)], 8).
addition([train(53807)], [train(58455)], 11).
addition([train(21880)], [train(25322)], 3).
addition([train(31425)], [train(9341)], 6).
addition([train(34157)], [train(1444)], 4).
addition([train(34779)], [train(1667)], 12).
addition([train(7575)], [train(56956)], 16).
addition([train(45689)], [train(48490)], 16).
addition([train(26543)], [train(26865)], 16).
addition([train(14438)], [train(8380)], 12).
addition([train(28974)], [train(43046)], 12).
addition([train(57024)], [train(53871)], 10).
addition([train(17562)], [train(22581)], 14).
addition([train(13598)], [train(57550)], 13).
addition([train(42146)], [train(43254)], 9).
addition([train(25791)], [train(43927)], 5).
addition([train(29206)], [train(1007)], 7).
addition([train(29022)], [train(15069)], 13).
addition([train(26653)], [train(18645)], 4).
addition([train(7642)], [train(40713)], 13).
addition([train(3309)], [train(138)], 5).
addition([train(39956)], [train(49716)], 0).
addition([train(15869)], [train(275)], 7).
addition([train(55235)], [train(23468)], 11).
addition([train(35697)], [train(51187)], 1).
addition([train(48161)], [train(46164)], 9).
addition([train(53321)], [train(47716)], 1).
addition([train(8579)], [train(8043)], 6).
addition([train(14659)], [train(58978)], 14).
addition([train(43023)], [train(25254)], 15).
addition([train(55239)], [train(14717)], 4).
addition([train(40719)], [train(57826)], 12).
addition([train(13930)], [train(55415)], 3).
addition([train(4873)], [train(8468)], 17).
addition([train(28885)], [train(29618)], 15).
addition([train(47028)], [train(3665)], 12).
addition([train(22131)], [train(25715)], 15).
addition([train(18080)], [train(38551)], 9).
addition([train(48036)], [train(6655)], 14).
addition([train(18884)], [train(7216)], 13).
addition([train(33212)], [train(36540)], 13).
addition([train(51755)], [train(29464)], 9).
addition([train(43721)], [train(32435)], 6).
addition([train(26522)], [train(4744)], 2).
addition([train(37838)], [train(19528)], 3).
addition([train(53434)], [train(56917)], 4).
addition([train(965)], [train(48649)], 6).
addition([train(20485)], [train(30779)], 6).
addition([train(58948)], [train(21828)], 9).
addition([train(21768)], [train(49231)], 2).
addition([train(56333)], [train(16877)], 10).
addition([train(46446)], [train(35110)], 2).
addition([train(41615)], [train(32967)], 16).
addition([train(40580)], [train(11370)], 9).
addition([train(4995)], [train(5787)], 10).
addition([train(31768)], [train(12474)], 7).
addition([train(34637)], [train(12947)], 9).
addition([train(40633)], [train(16764)], 3).
addition([train(25593)], [train(5770)], 9).
addition([train(58182)], [train(49512)], 3).
addition([train(46533)], [train(36384)], 8).
addition([train(56599)], [train(53014)], 9).
addition([train(5070)], [train(9009)], 11).
addition([train(48935)], [train(4171)], 8).
addition([train(16319)], [train(20607)], 15).
addition([train(47662)], [train(36957)], 12).
addition([train(10611)], [train(36973)], 17).
addition([train(19865)], [train(9653)], 4).
addition([train(53974)], [train(3955)], 5).
addition([train(2983)], [train(33399)], 7).
addition([train(9829)], [train(11686)], 10).
addition([train(20273)], [train(9330)], 12).
addition([train(52392)], [train(54199)], 4).
addition([train(34761)], [train(19206)], 15).
addition([train(35816)], [train(16353)], 5).
addition([train(50539)], [train(35849)], 4).
addition([train(46288)], [train(57349)], 2).
addition([train(53886)], [train(40489)], 12).
addition([train(53651)], [train(41331)], 8).
addition([train(21714)], [train(40639)], 6).
addition([train(31346)], [train(14592)], 9).
addition([train(7000)], [train(44976)], 13).
addition([train(23893)], [train(10878)], 7).
addition([train(44794)], [train(56539)], 6).
addition([train(13187)], [train(40453)], 15).
addition([train(6206)], [train(52161)], 1).
addition([train(54855)], [train(8593)], 3).
addition([train(1564)], [train(3553)], 9).
addition([train(31954)], [train(57123)], 10).
addition([train(8504)], [train(47550)], 13).
addition([train(5476)], [train(58993)], 16).
addition([train(58853)], [train(15146)], 12).
addition([train(27170)], [train(25850)], 7).
addition([train(28179)], [train(19452)], 8).
addition([train(52795)], [train(17321)], 13).
addition([train(45690)], [train(16804)], 10).
addition([train(37541)], [train(1561)], 11).
addition([train(22883)], [train(11848)], 3).
addition([train(3023)], [train(29637)], 7).
addition([train(27906)], [train(7252)], 16).
addition([train(27547)], [train(15126)], 5).
addition([train(15275)], [train(46038)], 4).
addition([train(36233)], [train(48264)], 11).
addition([train(26804)], [train(3195)], 8).
addition([train(54938)], [train(27651)], 8).
addition([train(8238)], [train(33925)], 13).
addition([train(19727)], [train(21190)], 12).
addition([train(46275)], [train(28181)], 9).
addition([train(11918)], [train(38829)], 18).
addition([train(39309)], [train(30464)], 4).
addition([train(18451)], [train(37398)], 9).
addition([train(22966)], [train(4616)], 12).
addition([train(22623)], [train(52629)], 8).
addition([train(25051)], [train(58096)], 9).
addition([train(9497)], [train(12997)], 10).
addition([train(9701)], [train(5364)], 10).
addition([train(141)], [train(10696)], 10).
addition([train(478)], [train(46882)], 10).
addition([train(23298)], [train(52587)], 10).
addition([train(29235)], [train(58538)], 2).
addition([train(9540)], [train(7207)], 3).
addition([train(19894)], [train(34670)], 8).
addition([train(53513)], [train(49125)], 15).
addition([train(17512)], [train(11447)], 12).
addition([train(28022)], [train(42303)], 7).
addition([train(10410)], [train(28631)], 11).
addition([train(58590)], [train(58157)], 8).
addition([train(18182)], [train(9246)], 3).
addition([train(59782)], [train(16044)], 17).
addition([train(45210)], [train(15536)], 5).
addition([train(48664)], [train(25782)], 8).
addition([train(45340)], [train(30337)], 4).
addition([train(18605)], [train(3075)], 9).
addition([train(33090)], [train(36954)], 9).
addition([train(48116)], [train(39550)], 7).
addition([train(15170)], [train(19720)], 17).
addition([train(37547)], [train(50407)], 1).
addition([train(26173)], [train(20832)], 11).
addition([train(22475)], [train(37508)], 8).
addition([train(47846)], [train(16531)], 9).
addition([train(52441)], [train(9264)], 7).
addition([train(44467)], [train(24114)], 12).
addition([train(31325)], [train(21041)], 15).
addition([train(12246)], [train(43020)], 3).
addition([train(31131)], [train(57823)], 15).
addition([train(32695)], [train(35574)], 5).
addition([train(13860)], [train(10415)], 9).
addition([train(10450)], [train(22908)], 9).
addition([train(44255)], [train(56389)], 6).
addition([train(21001)], [train(17792)], 12).
addition([train(27249)], [train(50224)], 13).
addition([train(21645)], [train(7659)], 14).
addition([train(22768)], [train(10527)], 7).
addition([train(49794)], [train(15658)], 14).
addition([train(28907)], [train(26999)], 4).
addition([train(57187)], [train(16116)], 14).
addition([train(28002)], [train(33575)], 5).
addition([train(9117)], [train(47963)], 14).
addition([train(38925)], [train(15787)], 10).
addition([train(32983)], [train(45434)], 9).
addition([train(53279)], [train(24028)], 12).
addition([train(49589)], [train(52935)], 7).
addition([train(1496)], [train(22928)], 2).
addition([train(48826)], [train(40333)], 7).
addition([train(14425)], [train(2835)], 7).
addition([train(12102)], [train(54155)], 11).
addition([train(56739)], [train(29166)], 6).
addition([train(45934)], [train(26696)], 7).
addition([train(13862)], [train(9923)], 7).
addition([train(12686)], [train(2753)], 4).
addition([train(5881)], [train(40858)], 3).
addition([train(23581)], [train(25089)], 5).
addition([train(54127)], [train(28778)], 6).
addition([train(5481)], [train(35981)], 10).
addition([train(57037)], [train(10870)], 5).
addition([train(55683)], [train(46203)], 13).
addition([train(14545)], [train(59277)], 8).
addition([train(6692)], [train(10757)], 9).
addition([train(8994)], [train(15665)], 10).
addition([train(25935)], [train(22661)], 7).
addition([train(6803)], [train(53909)], 14).
addition([train(5621)], [train(5954)], 7).
addition([train(47069)], [train(18709)], 9).
addition([train(14881)], [train(57939)], 4).
addition([train(4021)], [train(54941)], 8).
addition([train(49958)], [train(10881)], 15).
addition([train(50572)], [train(8453)], 3).
addition([train(27588)], [train(33389)], 4).
addition([train(52499)], [train(43691)], 9).
addition([train(27678)], [train(25397)], 9).
addition([train(579)], [train(56523)], 13).
addition([train(1244)], [train(16070)], 9).
addition([train(42296)], [train(35260)], 14).
addition([train(429)], [train(57192)], 1).
addition([train(35830)], [train(15488)], 9).
addition([train(44774)], [train(13042)], 14).
addition([train(43360)], [train(23940)], 2).
addition([train(8782)], [train(56733)], 17).
addition([train(34465)], [train(950)], 11).
addition([train(40862)], [train(41276)], 8).
addition([train(1595)], [train(20394)], 3).
addition([train(25635)], [train(3834)], 13).
addition([train(41495)], [train(13690)], 10).
addition([train(32049)], [train(43238)], 11).
addition([train(45968)], [train(47837)], 9).
addition([train(46488)], [train(48482)], 3).
addition([train(40085)], [train(21319)], 6).
addition([train(8071)], [train(58569)], 11).
addition([train(21838)], [train(38540)], 6).
addition([train(22938)], [train(52529)], 5).
addition([train(3716)], [train(37003)], 10).
addition([train(11005)], [train(33276)], 7).
addition([train(21457)], [train(40285)], 12).
addition([train(54077)], [train(17415)], 7).
addition([train(27709)], [train(9643)], 8).
addition([train(26155)], [train(17889)], 17).
addition([train(25348)], [train(16534)], 13).
addition([train(40479)], [train(34685)], 3).
addition([train(25429)], [train(32899)], 8).
addition([train(19307)], [train(4242)], 10).
addition([train(20288)], [train(58968)], 15).
addition([train(35000)], [train(55148)], 6).
addition([train(10843)], [train(50177)], 15).
addition([train(12404)], [train(32099)], 9).
addition([train(3598)], [train(24780)], 12).
addition([train(35632)], [train(54971)], 7).
addition([train(5348)], [train(45281)], 10).
addition([train(13440)], [train(9371)], 10).
addition([train(34681)], [train(2721)], 3).
addition([train(58490)], [train(23902)], 14).
addition([train(14959)], [train(34753)], 9).
addition([train(24206)], [train(50146)], 8).
addition([train(15496)], [train(19467)], 7).
addition([train(1858)], [train(29386)], 7).
addition([train(39750)], [train(22518)], 13).
addition([train(4462)], [train(40803)], 5).
addition([train(24168)], [train(41882)], 9).
addition([train(28082)], [train(30355)], 9).
addition([train(5594)], [train(46577)], 12).
addition([train(4069)], [train(52747)], 4).
addition([train(24027)], [train(16474)], 8).
addition([train(24935)], [train(10260)], 10).
addition([train(37978)], [train(25953)], 1).
addition([train(3208)], [train(42637)], 2).
addition([train(55246)], [train(48674)], 2).
